Neurons,Episode Number,CPU in %,Ram,Start Time,End Time,Execution Time,Reward Total,Running Mean 
800,3807,88.5,10.4,2022-08-10 03:39:31.740652,2022-08-10 11:11:58.650954,7:32:26.910302,-15.0,-15.055094357556207
800,3808,86.9,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:12:09.260327,7:32:37.519675,-11.0,-15.014543413980645
800,3809,87.1,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:12:18.385325,7:32:46.644673,-15.0,-15.014397979840838
800,3810,86.6,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:12:28.010333,7:32:56.269681,-16.0,-15.024254000042431
800,3811,85.8,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:12:39.182203,7:33:07.441551,-11.0,-14.984011460042005
800,3812,85.1,10.2,2022-08-10 03:39:31.740652,2022-08-10 11:12:48.338453,7:33:16.597801,-17.0,-15.004171345441584
800,3813,86.7,11.6,2022-08-10 03:39:31.740652,2022-08-10 11:13:01.197829,7:33:29.457177,-10.0,-14.954129631987168
800,3814,85.2,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:13:11.979076,7:33:40.238424,-14.0,-14.944588335667298
800,3815,87.3,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:13:20.119705,7:33:48.379053,-16.0,-14.955142452310625
800,3816,89.1,10.2,2022-08-10 03:39:31.740652,2022-08-10 11:13:29.400954,7:33:57.660302,-16.0,-14.965591027787518
800,3817,88.0,10.3,2022-08-10 03:39:31.740652,2022-08-10 11:13:40.260329,7:34:08.519677,-16.0,-14.975935117509643
800,3818,87.7,10.9,2022-08-10 03:39:31.740652,2022-08-10 11:13:49.275953,7:34:17.535301,-15.0,-14.976175766334546
800,3819,87.6,11.1,2022-08-10 03:39:31.740652,2022-08-10 11:13:59.135331,7:34:27.394679,-18.0,-15.0064140086712
800,3820,85.1,11.0,2022-08-10 03:39:31.740652,2022-08-10 11:14:07.822824,7:34:36.082172,-15.0,-15.006349868584488
800,3821,85.9,10.3,2022-08-10 03:39:31.740652,2022-08-10 11:14:18.322827,7:34:46.582175,-10.0,-14.956286369898642
800,3822,87.7,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:14:29.432205,7:34:57.691553,-15.0,-14.956723506199655
800,3823,88.1,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:14:38.166579,7:35:06.425927,-18.0,-14.987156271137659
800,3824,85.8,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:14:48.619705,7:35:16.879053,-17.0,-15.007284708426281
800,3825,87.2,11.1,2022-08-10 03:39:31.740652,2022-08-10 11:14:56.088451,7:35:24.347799,-18.0,-15.037211861342017
800,3826,88.2,10.5,2022-08-10 03:39:31.740652,2022-08-10 11:15:08.635326,7:35:36.894674,-12.0,-15.006839742728596
800,3827,85.2,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:15:19.775952,7:35:48.035300,-13.0,-14.98677134530131
800,3828,84.9,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:15:29.072824,7:35:57.332172,-15.0,-14.986903631848298
800,3829,86.9,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:15:38.635330,7:36:06.894678,-15.0,-14.987034595529815
800,3830,85.9,10.1,2022-08-10 03:39:31.740652,2022-08-10 11:15:47.322830,7:36:15.582178,-17.0,-15.007164249574517
800,3831,87.1,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:15:57.432205,7:36:25.691553,-17.0,-15.027092607078771
800,3832,85.2,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:16:08.385329,7:36:36.644677,-17.0,-15.046821681007984
800,3833,87.1,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:16:19.494703,7:36:47.754051,-17.0,-15.066353464197904
800,3834,87.5,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:16:29.307204,7:36:57.566552,-13.0,-15.045689929555927
800,3835,85.3,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:16:39.979075,7:37:08.238423,-12.0,-15.015233030260367
800,3836,85.3,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:16:49.400951,7:37:17.660299,-19.0,-15.055080699957763
800,3837,87.4,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:17:00.338453,7:37:28.597801,-11.0,-15.014529892958185
800,3838,86.3,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:17:10.400955,7:37:38.660303,-18.0,-15.044384594028603
800,3839,88.5,10.3,2022-08-10 03:39:31.740652,2022-08-10 11:17:21.416575,7:37:49.675923,-11.0,-15.003940748088317
800,3840,86.6,11.1,2022-08-10 03:39:31.740652,2022-08-10 11:17:31.182199,7:37:59.441547,-17.0,-15.023901340607432
800,3841,86.0,11.5,2022-08-10 03:39:31.740652,2022-08-10 11:17:42.916577,7:38:11.175925,-9.0,-14.963662327201359
800,3842,86.6,11.6,2022-08-10 03:39:31.740652,2022-08-10 11:17:56.354078,7:38:24.613426,-10.0,-14.914025703929344
800,3843,87.2,10.2,2022-08-10 03:39:31.740652,2022-08-10 11:18:05.666577,7:38:33.925925,-16.0,-14.92488544689005
800,3844,86.3,11.4,2022-08-10 03:39:31.740652,2022-08-10 11:18:16.822828,7:38:45.082176,-17.0,-14.945636592421149
800,3845,84.9,10.2,2022-08-10 03:39:31.740652,2022-08-10 11:18:25.822829,7:38:54.082177,-16.0,-14.956180226496938
800,3846,86.9,11.1,2022-08-10 03:39:31.740652,2022-08-10 11:18:34.869700,7:39:03.129048,-15.0,-14.95661842423197
800,3847,88.4,10.5,2022-08-10 03:39:31.740652,2022-08-10 11:18:47.244701,7:39:15.504049,-13.0,-14.93705223998965
800,3848,85.7,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:18:57.760327,7:39:26.019675,-11.0,-14.897681717589753
800,3849,87.3,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:19:07.025950,7:39:35.285298,-15.0,-14.898704900413856
800,3850,86.2,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:19:16.088458,7:39:44.347806,-15.0,-14.899717851409717
800,3851,86.8,11.3,2022-08-10 03:39:31.740652,2022-08-10 11:19:26.182203,7:39:54.441551,-15.0,-14.90072067289562
800,3852,88.2,10.2,2022-08-10 03:39:31.740652,2022-08-10 11:19:35.760326,7:40:04.019674,-16.0,-14.911713466166663
800,3853,87.1,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:19:45.369702,7:40:13.629050,-13.0,-14.892596331504997
800,3854,86.5,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:19:54.760325,7:40:23.019673,-16.0,-14.903670368189948
800,3855,85.7,11.2,2022-08-10 03:39:31.740652,2022-08-10 11:20:04.635329,7:40:32.894677,-18.0,-14.934633664508048
800,3856,87.5,10.2,2022-08-10 03:39:31.740652,2022-08-10 11:20:14.744702,7:40:43.004050,-16.0,-14.945287327862967
